Statistical profiling result from isolate-0x103000000-v8.log, (2732 ticks, 192 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      2    0.1%    0.1%  LazyCompile: *pp$7.nextToken /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/is-expression/node_modules/acorn/dist/acorn.js:2715:26
      2    0.1%    0.1%  LazyCompile: *pp$7.getTokenFromCode /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/acorn-globals/node_modules/acorn/dist/acorn.js:2942:33
      2    0.1%    0.1%  LazyCompile: *pp$3.parseSubscripts /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/babylon/lib/index.js:3507:33
      2    0.1%    0.1%  LazyCompile: *pp$3.parseMaybeUnary /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/acorn-globals/node_modules/acorn/dist/acorn.js:1828:32
      2    0.1%    0.1%  LazyCompile: *pp$3.parseLiteral /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/acorn/dist/acorn.js:1826:31
      2    0.1%    0.1%  LazyCompile: *pp$1.parseStatement /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/acorn/dist/acorn.js:675:33
      2    0.1%    0.1%  LazyCompile: *pp$1.parseBlock /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/acorn/dist/acorn.js:974:29
      2    0.1%    0.1%  LazyCompile: *parse url.js:101:37
      2    0.1%    0.1%  KeyedLoadIC: A keyed load IC from the snapshot {1}
      2    0.1%    0.1%  Handler: An IC handler from the snapshot {1}
      2    0.1%    0.1%  Builtin: StringPrototypeSubstr
      2    0.1%    0.1%  Builtin: ObjectKeys
      2    0.1%    0.1%  Builtin: FunctionPrototypeHasInstance
      2    0.1%    0.1%  Builtin: ForInPrepare
      2    0.1%    0.1%  Builtin: Equal
      2    0.1%    0.1%  Builtin: Construct {1}
      2    0.1%    0.1%  Builtin: CallWithArrayLike
      1    0.0%    0.0%  Stub: StringAddStub {1}
      1    0.0%    0.0%  Stub: StoreFastElementStub
      1    0.0%    0.0%  Stub: RecordWriteStub {3}
      1    0.0%    0.0%  Stub: RecordWriteStub {2}
      1    0.0%    0.0%  Stub: RecordWriteStub {1}
      1    0.0%    0.0%  Stub: RecordWriteStub
      1    0.0%    0.0%  Script: ~<anonymous> /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/clean-css/lib/optimizer/level-2/remove-unused-at-rules.js:1:11
      1    0.0%    0.0%  Script: ~<anonymous> /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/clean-css/lib/optimizer/level-1/optimize.js:1:11
      1    0.0%    0.0%  RegExp: ^when\\b
      1    0.0%    0.0%  RegExp: ^mixin +([-\\w]+)(?: *\\((.*)\\))? *
      1    0.0%    0.0%  RegExp: ^include\\b
      1    0.0%    0.0%  RegExp: ^\\+(\\s*)(([-\\w]+)|(#\\{))
      1    0.0%    0.0%  RegExp: ^(break|case|catch|continue|debugger|default|do|else|finally|for|function|if|return|switch|throw|try|var|while|with|null|true|false|instanceof|typeof|void|delete|new|in|this|const|class|extends|export|import|super)$
      1    0.0%    0.0%  RegExp: ^(\\w(?:[-:\\w]*\\w)?)
      1    0.0%    0.0%  RegExp: ^(?:block +)?prepend +([^\\n]+)
      1    0.0%    0.0%  LoadIC: A load IC from the snapshot {1}
      1    0.0%    0.0%  LazyCompile: ~write_ _http_outgoing.js:620:16
      1    0.0%    0.0%  LazyCompile: ~writeHead _http_server.js:189:19
      1    0.0%    0.0%  LazyCompile: ~when /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/pug-lexer/index.js:784:17
      1    0.0%    0.0%  LazyCompile: ~walkAST /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/pug-walk/index.js:4:17
      1    0.0%    0.0%  LazyCompile: ~walk.includeDependencies /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/pug-filters/lib/handle-filters.js:12:22
      1    0.0%    0.0%  LazyCompile: ~visitTag /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/pug-code-gen/index.js:521:21
      1    0.0%    0.0%  LazyCompile: ~tryStatSync fs.js:514:21
      1    0.0%    0.0%  LazyCompile: ~tryReadSync fs.js:536:21
      1    0.0%    0.0%  LazyCompile: ~tryPackage module.js:135:20
      1    0.0%    0.0%  LazyCompile: ~toConstant /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/pug-attrs/index.js:11:20
      1    0.0%    0.0%  LazyCompile: ~tickOnSocket _http_client.js:612:22
      1    0.0%    0.0%  LazyCompile: ~template :3:18
      1    0.0%    0.0%  LazyCompile: ~stringify /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/request/node_modules/qs/lib/stringify.js:32:35
      1    0.0%    0.0%  LazyCompile: ~stringify /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/js-stringify/index.js:4:19
      1    0.0%    0.0%  LazyCompile: ~splitRoot fs.js:1543:33
      1    0.0%    0.0%  LazyCompile: ~spliceOne internal/util.js:273:19
      1    0.0%    0.0%  LazyCompile: ~socketOnData _http_client.js:433:22
      1    0.0%    0.0%  LazyCompile: ~socketOnClose _http_server.js:411:23
      1    0.0%    0.0%  LazyCompile: ~skipSpace /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/babylon/lib/index.js:836:53
      1    0.0%    0.0%  LazyCompile: ~shallowEqual /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/constantinople/lib/index.js:232:22
      1    0.0%    0.0%  LazyCompile: ~setcookie /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/express-session/index.js:634:19
      1    0.0%    0.0%  LazyCompile: ~setHeader _http_outgoing.js:497:57
      1    0.0%    0.0%  LazyCompile: ~serveStatic /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/serve-static/index.js:72:31
